what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467530589361
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467530610143
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1467530610189
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467530632982
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467530635072
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467531094038
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1467531114793
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1467531124840
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467531131501
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1467531138538
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467531138538
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467531140706
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467531142563
error,log,,,"Core exception while retrieving the content description",1467531152859
error,log,,,"Core exception while retrieving the content description",1467531152859
error,log,,,"Core exception while retrieving the content description",1467531152859
error,log,,,"Core exception while retrieving the content description",1467531152859
error,log,,,"Core exception while retrieving the content description",1467531152874
error,log,,,"Core exception while retrieving the content description",1467531152874
error,log,,,"Core exception while retrieving the content description",1467531152874
error,log,,,"Core exception while retrieving the content description",1467531152874
error,log,,,"Core exception while retrieving the content description",1467531152874
error,log,,,"Core exception while retrieving the content description",1467531152874
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467531155620
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467531157788
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467531160097
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467531161704
error,log,,,"Core exception while retrieving the content description",1467531170005
error,log,,,"Core exception while retrieving the content description",1467531170021
error,log,,,"Core exception while retrieving the content description",1467531170021
error,log,,,"Core exception while retrieving the content description",1467531170021
